CH_0,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12
0,0,0,0,20295,0,267166,864,829611,0,4896,3,0
0,0,0,0,15276,0,230430,467,765279,0,3295,1,0
0,0,0,0,9725,0,180719,180,680294,0,1773,0,0
0,0,0,0,5109,0,143285,77,593878,0,895,0,0
0,0,0,0,2762,0,112007,48,533329,0,395,0,0
0,0,0,0,1378,0,84042,15,471748,0,185,0,0
0,0,0,0,641,0,62628,8,423408,0,86,0,0
0,0,0,0,313,0,47141,5,377741,0,32,0,0
0,0,0,0,296,0,32344,1,340479,0,18,0,0
0,0,0,0,143,0,22211,0,296292,0,10,0,0
0,0,0,0,80,0,14741,0,257748,0,5,0,0
0,0,0,0,14,0,9007,0,199152,0,1,0,0
0,0,0,0,13,0,5536,0,156006,0,0,0,0
0,0,0,0,3,0,3012,0,115942,0,0,0,0
0,0,0,0,1,0,1889,0,89177,0,0,0,0
0,0,0,0,1,0,928,0,59976,0,0,0,0
0,0,0,0,1,0,502,0,36483,0,0,0,0
0,0,0,0,0,0,196,0,20928,0,0,0,0
0,0,0,0,0,0,64,0,12589,0,0,0,0
0,0,0,0,0,0,32,0,6413,0,0,0,0
0,0,0,0,0,0,14,0,3921,0,0,0,0
0,0,0,0,0,0,7,0,2191,0,0,0,0
0,0,0,0,0,0,3,0,1101,0,0,0,0
0,0,0,0,0,0,0,0,443,0,0,0,0
0,0,0,0,0,0,2,0,261,0,0,0,0
0,0,0,0,0,0,0,0,129,0,0,0,0
0,0,0,0,0,0,0,0,51,0,0,0,0
0,0,0,0,0,0,1,0,20,0,0,0,0
0,0,0,0,0,0,0,0,16,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
