06-12-23 13:36:01 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:36:14 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:36:28 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:36:41 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:36:54 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:37:07 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:37:20 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:37:34 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:37:47 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:38:00 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:38:13 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:38:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:38:39 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:38:53 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:39:06 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:39:19 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:39:32 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:39:45 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:39:59 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:40:12 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:40:25 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:40:38 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:40:52 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:41:05 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:41:18 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:41:31 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:41:44 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:41:57 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:42:11 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:42:24 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:42:37 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:42:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:43:03 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:43:17 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:43:30 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:43:43 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:43:56 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:44:10 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:44:23 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:44:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:44:49 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:45:02 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:45:15 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:45:29 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:45:42 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:45:55 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:46:08 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:46:21 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:46:35 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:46:48 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:47:01 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:47:14 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:47:27 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:47:41 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:47:54 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:48:07 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:48:20 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:48:33 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:48:47 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:49:00 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:49:13 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:49:26 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:49:39 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:49:53 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:50:06 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:50:19 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:50:32 - Voltage 1.2 - INFO   Current = 0.3999
06-12-23 13:50:45 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:50:59 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:51:12 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:51:25 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:51:38 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:51:51 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:52:05 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:52:18 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:52:31 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:52:44 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:52:57 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:53:11 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:53:24 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:53:37 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:53:50 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:54:03 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:54:17 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:54:30 - Voltage 1.2 - INFO   Current = 0.4000
06-12-23 13:54:43 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:54:56 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:55:09 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:55:23 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:55:36 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:55:49 - Voltage 1.2 - INFO   Current = 0.3982
06-12-23 13:56:02 - Voltage 1.2 - INFO   Current = 0.3992
06-12-23 13:56:15 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:56:29 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:56:42 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:56:55 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:57:08 - Voltage 1.2 - INFO   Current = 0.3994
06-12-23 13:57:21 - Voltage 1.2 - INFO   Current = 0.3981
06-12-23 13:57:35 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:57:48 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:58:01 - Voltage 1.2 - INFO   Current = 0.3993
06-12-23 13:58:14 - Voltage 1.2 - INFO   Current = 0.3982
